date,Regional Price Parities,msa_state,city,title,id,frequency,seasonal_adjustment
2016-01-01,94.644,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2017-01-01,91.355,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2018-01-01,94.613,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2019-01-01,92.369,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2020-01-01,92.170,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2008-01-01,95.557,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2009-01-01,95.361,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2010-01-01,95.547,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2011-01-01,96.358,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2012-01-01,96.193,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2013-01-01,94.484,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2014-01-01,95.087,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2015-01-01,94.803,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2016-01-01,95.660,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2017-01-01,94.664,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2018-01-01,93.577,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2019-01-01,93.632,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2020-01-01,93.354,SC,Myrtle Beach,"Regional Price Parities: All Items for Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)",RPPALL34820,Annual,Not Seasonally Adjusted
2008-01-01,116.622,CA,Napa,"Regional Price Parities: All Items for Napa, CA (MSA)",RPPALL34900,Annual,Not Seasonally Adjusted
2009-01-01,112.944,CA,Napa,"Regional Price Parities: All Items for Napa, CA (MSA)",RPPALL34900,Annual,Not Seasonally Adjusted
2010-01-01,112.207,CA,Napa,"Regional Price Parities: All Items for Napa, CA (MSA)",RPPALL34900,Annual,Not Seasonally Adjusted
