date,Resident Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2004-01-01,461.573,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2005-01-01,463.949,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2006-01-01,467.836,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2007-01-01,474.342,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2008-01-01,481.557,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2009-01-01,490.195,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2010-01-01,499.138,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2011-01-01,501.051,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2012-01-01,504.171,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2013-01-01,506.542,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2014-01-01,509.084,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2015-01-01,511.23,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2016-01-01,513.324,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2017-01-01,513.392,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2018-01-01,513.877,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2019-01-01,516.579,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2020-01-01,519.907,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1970-01-01,14.460,NE,Lincoln,Seward County,NE,"Resident Population in Seward County, NE",NESEWA9POP,Annual,Not Seasonally Adjusted
1971-01-01,14.800,NE,Lincoln,Seward County,NE,"Resident Population in Seward County, NE",NESEWA9POP,Annual,Not Seasonally Adjusted
